Samples,Time,Accuracy(train),Loss(train),Accuracy(val),Loss(val)
3669,     0.324,0.46143361926078796,0.6880141496658325,0.7156862616539001,0.6715942025184631
3669,     0.050,0.8103025555610657,0.6643319129943848,0.9240196347236633,0.6499900817871094
3669,     0.054,0.9272281527519226,0.6418411135673523,0.9166666865348816,0.6261461973190308
3669,     0.054,0.8623602986335754,0.6169071793556213,0.7524510025978088,0.6011053919792175
3669,     0.057,0.7833197116851807,0.590838611125946,0.779411792755127,0.5760994553565979
3669,     0.051,0.8612701296806335,0.5640231966972351,0.9142156839370728,0.5502719283103943
3669,     0.047,0.9228672385215759,0.5360987186431885,0.9166666865348816,0.5250210762023926
3669,     0.054,0.9228672385215759,0.5091627836227417,0.9166666865348816,0.5009129643440247
3669,     0.051,0.9220495820045471,0.4824800193309784,0.9166666865348816,0.47667932510375977
3669,     0.051,0.922322154045105,0.45618370175361633,0.9166666865348816,0.45451751351356506
3669,     0.049,0.922322154045105,0.43178004026412964,0.9166666865348816,0.4340492784976959
3669,     0.052,0.922322154045105,0.4087661802768707,0.9166666865348816,0.41438502073287964
3669,     0.051,0.922322154045105,0.3866836130619049,0.9166666865348816,0.3958704471588135
3669,     0.061,0.9225947260856628,0.3659840226173401,0.9166666865348816,0.3785662055015564
3669,     0.130,0.9225947260856628,0.34663763642311096,0.9166666865348816,0.3628261089324951
3669,     0.064,0.9215044975280762,0.329127699136734,0.9166666865348816,0.34843534231185913
3669,     0.073,0.9215044975280762,0.3132619559764862,0.9166666865348816,0.33533820509910583
3669,     0.068,0.9220495820045471,0.29911503195762634,0.9240196347236633,0.32353493571281433
3669,     0.056,0.9258653521537781,0.2865983247756958,0.9240196347236633,0.31306973099708557
3669,     0.055,0.9258653521537781,0.27559125423431396,0.9240196347236633,0.3037850856781006
3669,     0.053,0.9258653521537781,0.26611247658729553,0.9240196347236633,0.29540014266967773
3669,     0.051,0.9258653521537781,0.25785958766937256,0.9240196347236633,0.2877088189125061
3669,     0.053,0.9258653521537781,0.2505797743797302,0.9240196347236633,0.2806394398212433
3669,     0.048,0.9258653521537781,0.24416770040988922,0.9240196347236633,0.27414584159851074
3669,     0.048,0.9258653521537781,0.23845425248146057,0.9240196347236633,0.2677963376045227
3669,     0.050,0.9258653521537781,0.2331891506910324,0.9240196347236633,0.2616606056690216
3669,     0.052,0.9258653521537781,0.22831135988235474,0.9240196347236633,0.2556803524494171
3669,     0.044,0.9258653521537781,0.22374576330184937,0.9240196347236633,0.24971890449523926
3669,     0.052,0.9258653521537781,0.21941794455051422,0.9240196347236633,0.2439286857843399
3669,     0.050,0.9258653521537781,0.21529124677181244,0.9240196347236633,0.23831376433372498
3669,     0.051,0.9258653521537781,0.21139000356197357,0.9240196347236633,0.2328149378299713
3669,     0.049,0.9258653521537781,0.20770703256130219,0.9240196347236633,0.22756071388721466
3669,     0.049,0.9258653521537781,0.20419904589653015,0.9240196347236633,0.22244639694690704
3669,     0.050,0.9258653521537781,0.20086586475372314,0.9240196347236633,0.21762101352214813
3669,     0.052,0.9258653521537781,0.19773973524570465,0.9240196347236633,0.21310783922672272
3669,     0.049,0.9258653521537781,0.19478848576545715,0.9240196347236633,0.2088143229484558
3669,     0.043,0.9258653521537781,0.1920146346092224,0.9240196347236633,0.20476195216178894
